causa_morte,descricao_morte,soma_morte
J439,Enfisema Não Especificado,3254
A09,Diarréia e Gastroenterite de Origem Infecciosa Presumível,3115
J441,Doença Pulmonar Obstrutiva Crônica Com Exacerbação Aguda Não Especificada,3073
V299,Motociclista (qualquer) Traumatizado em um Acidente de Trânsito Não Especificado,3061
B207,Doença Pelo HIV Resultando em Infecções Múltiplas,3006
E147,Diabetes Mellitus Não Especificado,2953
I693,Seqüelas de Infarto Cerebral,2809
G409,"Epilepsia, Não Especificada",2808
C710,"Neoplasia Maligna do Cérebro, Exceto Lobos e Ventrículos",2800
X994,Agressão Por Meio de Objeto Cortante ou Penetrante,2781
E669,Obesidade Não Especificada,2751
I429,Cardiomiopatia Não Especificada,2632
J969,Insuficiência Respiratória Não Especificada,2596
I519,Doença Não Especificada do Coração,2583
F03,Demência Não Especificada,2554
E141,Diabetes Mellitus Não Especificado,2455
J459,Asma Não Especificada,2446
N19,Insuficiência Renal Não Especificada,2441
W180,Outras Quedas no Mesmo Nível,2427
K859,"Pancreatite Aguda, Não Especificada",2401
P369,Septicemia Bacteriana Não Especificada do Recém-nascido,2393
E46,Desnutrição Protéico-calórica Não Especificada,2349
L089,"Infecção Localizada da Pele e do Tecido Subcutâneo, Não Especificada",2328
W199,Queda Sem Especificação,2279
I739,Doenças Vasculares Periféricas Não Especificada,2272
C859,Linfoma Não-Hodgkin de Tipo Não Especificado,2270
A162,"Tuberculose Pulmonar, Sem Menção de Confirmação Bacteriológica ou Histológica",2238
V499,"Ocupante (qualquer) de um Automóvel (carro), Traumatizado em um Acidente de Trânsito Não Especificado",2211
J841,Outras Doenças Pulmonares Intersticiais Com Fibrose,2184
V093,Pedestre Traumatizado em um Acidente de Trânsito Não Especificado,2179
X958,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,2174
I461,"Morte Súbita (de Origem) Cardíaca, Descrita Desta Forma",2162
G311,"Degeneração Cerebral Senil, Não Classificadas em Outra Parte",2135
C920,Leucemia Mielóide Aguda,2132
K550,Transtornos Vasculares Agudos do Intestino,2090
E109,Diabetes Mellitus Insulino-dependente,2082
E112,Diabetes Mellitus Não-insulino-dependente,2068
F172,Transtornos Mentais e Comportamentais Devidos ao Uso de Fumo,2062
A46,Erisipela,2060
X999,Agressão Por Meio de Objeto Cortante ou Penetrante,2004
I132,Doença Cardíaca e Renal Hipertensiva Com Insuficiência Cardíaca (congestiva) e Insuficiência Renal,1950
W698,Afogamento e Submersão em Águas Naturais,1923
D649,Anemia Não Especificada,1913
C109,"Neoplasia Maligna da Orofaringe, Não Especificada",1909
V234,"Motociclista Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Condutor Traumatizado em um Acidente de Trânsito",1883
I501,Insuficiência Ventricular Esquerda,1883
N039,Síndrome Nefrítica Crônica,1881
C449,"Neoplasia Maligna da Pele, Não Especificada",1880
J81,"Edema Pulmonar, Não Especificado de Outra Forma",1875
C760,"Neoplasia Maligna da Cabeça, Face e Pescoço",1869
Y350,Intervenção Legal Envolvendo o Uso de Armas de Fogo,1834
C55,"Neoplasia Maligna do Útero, Porção Não Especificada",1823
B24,Doença Pelo Vírus da Imunodeficiência Humana (HIV) Não Especificada,1820
L89,Úlcera de Decúbito,1805
C220,Carcinoma de Células Hepáticas,1760
K729,"Insuficiência Hepática, Sem Outras Especificações",1687
C250,Neoplasia Maligna da Cabeça do Pâncreas,1685
X990,Agressão Por Meio de Objeto Cortante ou Penetrante,1677
K769,"Doença Hepática, Sem Outra Especificação",1636
J158,Outras Pneumonias Bacterianas,1594
C541,Neoplasia Maligna do Endométrio,1586
C439,"Melanoma Maligno de Pele, Não Especificado",1586
I710,Aneurisma Dissecante da Aorta (qualquer Porção),1572
J984,Outros Transtornos Pulmonares,1555
C19,Neoplasia Maligna da Junção Retossigmóide,1544
V899,Pessoa Traumatizada em um Acidente Com um Veículo Não Especificado,1542
P220,Síndrome da Angústia Respiratória do Recém-nascido,1540
C249,"Neoplasia Maligna da Via Biliar, Não Especificada",1540
E107,Diabetes Mellitus Insulino-dependente,1527
I350,Estenose (da Valva) Aórtica,1526
G122,Doença do Neurônio Motor,1521
I249,Doença Isquêmica Aguda do Coração Não Especificada,1481
E43,Desnutrição Protéico-calórica Grave Não Especificada,1471
X599,Exposição a Fator Não Especificado Causando Outro Traumatismo e Traumatismo Não Especificado,1438
A418,Outras Septicemias Especificadas,1413
B200,Doença Pelo HIV Resultando em Infecções Micobacterianas,1411
Y299,"Contato Com Objeto Contundente, Intenção Não Determinada",1385
R570,Choque Cardiogênico,1329
I248,Outras Formas de Doença Isquêmica Aguda do Coração,1329
K709,"Doença Alcoólica do Fígado, Sem Outra Especificação",1307
I802,Flebite e Tromboflebite de Outros Vasos Profundos Dos Membros Inferiores,1301
Q249,Malformação Não Especificada do Coração,1298
X934,Agressão Por Meio de Disparo de Arma de Fogo de Mão,1295
K704,Insuficiência Hepática Alcoólica,1277
W849,Riscos Não Especificados à Respiração,1275
E118,Diabetes Mellitus Não-insulino-dependente,1258
I638,Outros Infartos Cerebrais,1242
X709,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",1233
I422,Outras Cardiomiopatias Hipertróficas,1231
I713,"Aneurisma da Aorta Abdominal, Roto",1223
C348,Neoplasia Maligna Dos Brônquios e Dos Pulmões Com Lesão Invasiva,1197
N12,Nefrite Túbulo-intersticial Não Especificada se Aguda ou Crônica,1194
C029,"Neoplasia Maligna da Língua, Não Especificada",1183
J448,Outras Formas Especificadas de Doença Pulmonar Obstrutiva Crônica,1156
C508,Neoplasia Maligna da Mama Com Lesão Invasiva,1156
C221,Carcinoma de Vias Biliares Intra-hepáticas,1149
N40,Hiperplasia da Próstata,1141
I698,Seqüelas de Outras Doenças Cerebrovasculares e Das Não Especificadas,1139
E86,Depleção de Volume,1135
K830,Colangite,1128
E117,Diabetes Mellitus Não-insulino-dependente,1128
J90,Derrame Pleural Não Classificado em Outra Parte,1113
G301,Doença de Alzheimer de Início Tardio,1111
C23,Neoplasia Maligna da Vesícula Biliar,1108
C187,Neoplasia Maligna do Cólon Sigmóide,1093
R688,Outros Sintomas e Sinais Gerais Especificados,1091
C798,Neoplasia Maligna Secundária de Outra Localização Especificada,1089
W010,"Queda no Mesmo Nível Por Escorregão, Tropeção ou Passos em Falsos (traspés)",1078
J80,Síndrome do Desconforto Respiratório do Adulto,1073
B182,Hepatite Viral Crônica C,1064
C762,Neoplasia Maligna do Abdome,1059
G809,Paralisia Cerebral Não Especificada,1051
B201,Doença Pelo HIV Resultando em Outras Infecções Bacterianas,1051
I210,Infarto Agudo Transmural da Parede Anterior do Miocárdio,1042
I620,Hemorragia Subdural (aguda) (não-traumática),1024
Y099,Agressão Por Meios Não Especificados,1022
V284,Motociclista Traumatizado em um Acidente de Transporte Sem Colisão,1010
W749,Afogamento e Submersão Não Especificados,1006
P000,Feto e Recém-nascido Afetados Por Transtornos Maternos Hipertensivos,1003
C069,"Neoplasia Maligna da Boca, Não Especificada",992
C959,Leucemia Não Especificada,990
W789,Inalação do Conteúdo Gástrico,986
B208,Doença Pelo HIV Resultando em Outras Doenças Infecciosas e Parasitárias,985
V244,Motociclista Traumatizado em Colisão Com um Veículo de Transporte Pesado ou um Ônibus,975
E115,Diabetes Mellitus Não-insulino-dependente,961
C729,"Neoplasia Maligna do Sistema Nervoso Central, Não Especificado",956
C910,Leucemia Linfoblástica Aguda,954
K810,Colecistite Aguda,950
E878,Outros Transtornos do Equilíbrio Hidroeletrolítico Não Classificados em Outra Parte,947
G931,"Lesão Encefálica Anóxica, Não Classificada em Outra Parte",939
M623,Síndrome de Imobilidade (paraplégica),930
V031,"Pedestre Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Acidente de Trânsito",925
X939,Agressão Por Meio de Disparo de Arma de Fogo de Mão,921
R961,"Morte Que Ocorre em Menos de 24 Horas Após o Início Dos Sintomas, Que Não Pode Ser Explicada",917
I442,Bloqueio Atrioventricular Total,917
C482,Neoplasia Maligna do Peritônio,913
C499,"Neoplasia Maligna do Tecido Conjuntivo e Tecidos Moles, Não Especificados",912
K579,"Doença Diverticular do Intestino, de Localização Não Especificada, Sem Perfuração ou Abscesso",907
E668,Outra Obesidade,904
W190,Queda Sem Especificação,895
C419,"Neoplasia Maligna Dos Ossos e Cartilagens Articulares, Não Especificados",885
W019,"Queda no Mesmo Nível Por Escorregão, Tropeção ou Passos em Falsos (traspés)",878
D469,"Síndrome Mielodisplásica, Não Especificada",871
V274,Motociclista Traumatizado em Colisão Com um Objeto Fixo ou Parado,861
E788,Outros Distúrbios do Metabolismo de Lipoproteínas,860
I517,Cardiomegalia,854
I258,Outras Formas de Doença Isquêmica Crônica do Coração,852
I38,Endocardite de Valva Não Especificada,847
C73,Neoplasia Maligna da Glândula Tireóide,837
C780,Neoplasia Maligna Secundária Dos Pulmões,825
M321,Lúpus Eritematoso Disseminado (sistêmico) Com Comprometimento de Outros Órgãos e Sistemas,807
K659,"Peritonite, Sem Outras Especificações",801
C140,"Neoplasia Maligna da Faringe, Não Especificada",801
Y004,Agressão Por Meio de um Objeto Contundente,786
V99,Acidente de Transporte Não Especificado,781
Y340,Fatos ou Eventos Não Especificados e Intenção Não Determinada,778
F209,Esquizofrenia Não Especificada,764
I714,"Aneurisma da Aorta Abdominal, Sem Menção de Ruptura",763
B227,Doença Pelo HIV Resultando em Doenças Múltiplas Classificadas em Outra Parte,747
C240,Neoplasia Maligna Das Vias Biliares Extra-hepáticas,742
E105,Diabetes Mellitus Insulino-dependente,741
P77,Enterocolite Necrotizante do Feto e do Recém-nascido,732
G319,"Doença Degenerativa do Sistema Nervoso, Não Especificada",731
A150,"Tuberculose Pulmonar, Com Confirmação Por Exame Microscópico da Expectoração, Com ou Sem Cultura",727
W748,Afogamento e Submersão Não Especificados,725
K650,Peritonite Aguda,724
J22,Infecções Agudas Não Especificada Das Vias Aéreas Inferiores,724
W179,Outras Quedas de um Nível a Outro,722
C269,Neoplasia Maligna de Localizações Mal Definidas Dentro do Aparelho Digestivo,717
D619,Anemia Aplástica Não Especificada,716
J188,Outras Pneumonias Devidas a Microorganismos Não Especificados,711
N180,Doença Renal em Estádio Final,702
I213,"Infarto Agudo Transmural do Miocárdio, de Localização Não Especificada",691
K819,"Colecistite, Sem Outra Especificação",676
X998,Agressão Por Meio de Objeto Cortante ou Penetrante,672
E102,Diabetes Mellitus Insulino-dependente,668
E140,Diabetes Mellitus Não Especificado,666
I719,"Aneurisma Aórtico de Localização Não Especificada, Sem Menção de Ruptura",664
E101,Diabetes Mellitus Insulino-dependente,662
I330,Endocardite Infecciosa Aguda e Subaguda,659
I340,Insuficiência (da Valva) Mitral,656
E039,Hipotireoidismo Não Especificado,654
C218,"Neoplasia Maligna do Reto, Ânus e do Canal Anal Com Lesão Invasiva",653
C911,Leucemia Linfocítica Crônica,630
Y249,"Disparo de Outra Arma de Fogo e de Arma de Fogo Não Especificada, Intenção Não Determinada",627
I260,Embolia Pulmonar Com Menção de Cor Pulmonale Agudo,624
A049,Infecção Intestinal Bacteriana Não Especificada,624
K631,Perfuração do Intestino (não-traumática),623
J849,Doença Pulmonar Intersticial Não Especificadas,620
E108,Diabetes Mellitus Insulino-dependente,616
I749,Embolia e Trombose de Artéria Não Especificada,607
Y200,"Enforcamento, Estrangulamento e Sufocação, Intenção Não Determinada",604
V021,Pedestre Traumatizado em Colisão Com um Veículo a Motor de Duas ou Três Rodas,602
K254,Úlcera Gástrica,600
I718,"Aneurisma da Aorta de Localização Não Especificada, Roto",598
E889,Distúrbio Metabólico Não Especificado,591
G919,Hidrocefalia Não Especificada,589
K701,Hepatite Alcoólica,575
V445,Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Veículo de Transporte Pesado ou um Ônibus,571
C179,"Neoplasia Maligna do Intestino Delgado, Não Especificado",570
C168,Neoplasia Maligna do Estômago Com Lesão Invasiva,565
P219,"Asfixia ao Nascer, Não Especificada",562
P072,Imaturidade Extrema,559
X708,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",552
Y009,Agressão Por Meio de um Objeto Contundente,550
B573,Doença de Chagas (crônica) Com Comprometimento do Aparelho Digestivo,550
I743,Embolia e Trombose de Artérias Dos Membros Inferiores,548
C170,Neoplasia Maligna do Duodeno,548
I709,Aterosclerose Generalizada e a Não Especificada,547
C538,Neoplasia Maligna do Colo do Útero Com Lesão Invasiva,545
P011,Feto e Recém-nascido Afetados Por Ruptura Prematura Das Membranas,543
I618,Outras Hemorragias Intracerebrais,540
X955,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,536
C383,"Neoplasia Maligna do Mediastino, Porção Não Especificada",531
J989,Transtorno Respiratório Não Especificados,528
Y094,Agressão Por Meios Não Especificados,526
C188,Neoplasia Maligna do Cólon Com Lesão Invasiva,525
P070,Recém-nascido Com Peso Muito Baixo,523
I850,Varizes Esofagianas Sangrantes,519
P027,Feto e Recém-nascido Afetados Por Corioamnionite,514
A483,Síndrome do Choque Tóxico,510
V224,Motociclista Traumatizado em Colisão Com um Veículo a Motor de Duas ou Três Rodas,508
I279,Cardiopatia Pulmonar Não Especificada,507
A169,"Tuberculose Respiratória, Não Especificada, Sem Menção de Confirmação Bacteriológica ou Histológica",506
E872,Acidose,504
X590,Exposição a Fator Não Especificado Causando Fratura,498
I711,"Aneurisma da Aorta Torácica, Roto",497
W879,Exposição a Corrente Elétrica Não Especificada,495
R100,Abdome Agudo,493
M869,Osteomielite Não Especificada,491
F329,Episódio Depressivo Não Especificado,489
P001,Feto e Recém-nascido Afetados Por Doenças Maternas Renais e Das Vias Urinárias,487
Q909,Síndrome de Down Não Especificada,484
K802,Calculose da Vesícula Biliar Sem Colecistite,484
W780,Inalação do Conteúdo Gástrico,483
F109,Transtornos Mentais e Comportamentais Devidos ao Uso de Álcool,483
P021,Feto e Recém-nascido Afetados Por Outras Formas de Descolamento da Placenta e Hemorragia,482
K562,Volvo,482
V485,Ocupante de um Automóvel (carro) Traumatizado em um Acidente de Transporte Sem Colisão,478
V239,"Motociclista Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Motociclista Não Especificado Traumatizado em um Acidente de Trânsito",478
Y344,Fatos ou Eventos Não Especificados e Intenção Não Determinada,475
X930,Agressão Por Meio de Disparo de Arma de Fogo de Mão,475
P240,Aspiração Neonatal de Mecônio,475
C921,Leucemia Mielóide Crônica,471
K578,"Doença Diverticular do Intestino, de Localização Não Especificada, Com Perfuração e Abscesso",467
D689,Defeito de Coagulação Não Especificado,461
I671,Aneurisma Cerebral Não-roto,457
K850,Pancreatite Aguda Idiopática,456
Q336,Hipoplasia e Displasia do Pulmão,454
K767,Síndrome Hepatorrenal,454
V289,Motociclista Traumatizado em um Acidente de Transporte Sem Colisão,451
Y838,"Reação Anormal em Paciente ou Complicação Tardia, Causadas Por Outras Intervenções ou Procedimentos Cirúrgicos, Sem Menção de Acidente Durante a Intervenção",448
I629,Hemorragia Intracraniana (não-traumática) Não Especificada,448
V041,Pedestre Traumatizado em Colisão Com um Veículo de Transporte Pesado ou Com um Ônibus,440
I516,Doença Cardiovascular Não Especificada,433
V294,"Condutor Traumatizado em Colisão Com Outros Veículos e Com Veículos Não Especificados, a Motor, em um Acidente de Trânsito",431
K359,Apendicite Aguda Sem Outra Especificação,431
O985,"Outras Doenças Virais Complicando a Gravidez, o Parto e o Puerpério",430
E111,Diabetes Mellitus Não-insulino-dependente,430
V435,"Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Condutor (motorista) Traumatizado em um Acidente de Trânsito",428
Y000,Agressão Por Meio de um Objeto Contundente,425
I059,Doença Não Especificada da Valva Mitral,425
C768,Neoplasia Maligna de Outras Localizações e Das Mal Definidas Com Lesão Invasiva,424
C01,Neoplasia Maligna da Base da Língua,419
C480,Neoplasia Maligna do Retroperitônio,418
W870,Exposição a Corrente Elétrica Não Especificada,417
K559,"Transtorno Vascular do Intestino, Sem Outra Especificação",416
K255,Úlcera Gástrica,416
E440,Desnutrição Protéico-calórica Moderada,416
C839,"Linfoma Não-Hodgkin Difuso, Não Especificado",416
C763,Neoplasia Maligna da Pelve,415
C819,"Doença de Hodgkin, Não Especificada",414
C609,"Neoplasia Maligna do Pênis, Não Especificado",414
C629,"Neoplasia Maligna do Testículo, Sem Outras Especificações",412
J111,"Influenza (gripe) Com Outras Manifestações Respiratórias, Devida a Vírus Não Identificado",411
C519,"Neoplasia Maligna da Vulva, Não Especificada",409
L984,"Úlcera Crônica da Pele, Não Classificada em Outra Parte",407
N289,Transtorno Não Especificado do Rim e do Ureter,405
C788,Neoplasia Maligna Secundária de Outros Órgãos Digestivos e Não Especificados,405
Q897,"Malformações Congênitas Múltiplas, Não Classificadas em Outra Parte",404
K350,Apendicite Aguda Com Peritonite Generalizada,402
C929,"Leucemia Mielóide, Não Especificada",400
Y049,Agressão Por Meio de Força Corporal,397
G934,Encefalopatia Não Especificada,397
E162,Hipoglicemia Não Especificada,396
C180,Neoplasia Maligna do Ceco,396
B206,Doença Pelo HIV Resultando em Pneumonia Por Pneumocystis Jirovecii,396
P209,Hipóxia Intra-uterina Não Especificada,395
N10,Nefrite Túbulo-intersticial Aguda,395
I490,Flutter e Fibrilação Ventricular,395
M069,Artrite Reumatóide Não Especificada,393
A90,Dengue (dengue Clássico),392
N399,Transtornos Não Especificados do Aparelho Urinário,390
R571,Choque Hipovolêmico,388
I351,Insuficiência (da Valva) Aórtica,387
J181,Pneumonia Lobar Não Especificada,385
K460,"Hérnia Abdominal Não Especificada, Com Obstrução, Sem Gangrena",384
K403,"Hérnia Inguinal Unilateral ou Não Especificada, Com Obstrução Sem Gangrena",384
F101,Transtornos Mentais e Comportamentais Devidos ao Uso de Álcool,383
P229,Desconforto Respiratório Não Especificado do Recém-nascido,381
I211,Infarto Agudo Transmural da Parede Inferior do Miocárdio,381
X740,Lesão Autoprovocada Intencionalmente Por Disparo de Outra Arma de Fogo e de Arma de Fogo Não Especificada,380
L039,Celulite Não Especificada,380
K529,"Gastroenterite e Colite Não-infecciosas, Não Especificadas",380
F192,Transtornos Mentais e Comportamentais Devidos ao Uso de Múltiplas Drogas e ao Uso de Outras Substâncias Psicoativas,380
V475,Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Objeto Fixo ou Parado,374
E110,Diabetes Mellitus Não-insulino-dependente,374
P010,Feto e Recém-nascido Afetados Por Incompetência do Colo Uterino,370
X704,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",369
Q000,Anencefalia,369
I691,Seqüelas de Hemorragia Intracerebral,369
C787,Neoplasia Maligna Secundária do Fígado,369
B349,Infecção Viral Não Especificada,369
C950,Leucemia Aguda de Tipo Celular Não Especificado,368
C412,Neoplasia Maligna da Coluna Vertebral,367
K852,Pancreatite Aguda Induzida Por Álcool,365
K803,Calculose de Via Biliar Com Colangite,364
I829,Embolia e Trombose Venosas de Veia Não Especificada,361
K251,Úlcera Gástrica,360
X099,"Exposição a Tipo Não Especificado de Fumaça, Fogo ou Chamas",359
V099,Pedestre Traumatizado em um Acidente de Transporte Não Especificado,359
J110,"Influenza (gripe) Com Pneumonia, Devida a Vírus Não Identificado",357
R64,Caquexia,353
K851,Pancreatite Aguda Biliar,349
I270,Hipertensão Pulmonar Primária,349
X952,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,347
K564,Outras Obstruções do Intestino,347
Y244,"Disparo de Outra Arma de Fogo e de Arma de Fogo Não Especificada, Intenção Não Determinada",345
P969,Afecções Originadas no Período Perinatal Não Especificadas,344
K721,Insuficiência Hepática Crônica,344
K259,Úlcera Gástrica,343
C851,"Linfoma de Células B, Não Especificado",342
C258,Neoplasia Maligna do Pâncreas Com Lesão Invasiva,340
C139,"Neoplasia Maligna da Hipofaringe, Não Especificada",339
Y348,Fatos ou Eventos Não Especificados e Intenção Não Determinada,337
C158,Neoplasia Maligna do Esôfago Com Lesão Invasiva,330
L031,Celulite de Outras Partes Do(s) Membro(s),329
K750,Abscesso Hepático,327
I712,"Aneurisma da Aorta Torácica, Sem Menção de Ruptura",325
K831,Obstrução de Via Biliar,324
C786,Neoplasia Maligna Secundária do Retroperitônio e do Peritônio,324
C07,Neoplasia Maligna da Glândula Parótida,321
P210,Asfixia Grave ao Nascer,320
I426,Cardiomiopatia Alcoólica,320
I209,"Angina Pectoris, Não Especificada",320
G049,"Encefalite, Mielite e Encefalomielite Não Especificada",319
N200,Calculose do Rim,318
L97,Úlcera Dos Membros Inferiores Não Classificada em Outra Parte,318
W790,Inalação e Ingestão de Alimentos Causando Obstrução do Trato Respiratório,315
P269,Hemorragia Pulmonar Não Especificada Originada no Período Perinatal,314
D509,Anemia Por Deficiência de Ferro Não Especificada,314
E789,Distúrbio Não Especificado do Metabolismo de Lipoproteínas,312
I771,Estenose de Artéria,310
C340,Neoplasia Maligna do Brônquio Principal,310
E870,Hiperosmolaridade e Hipernatremia,306
K720,Insuficiência Hepática Aguda e Subaguda,305
K565,Aderências Intestinais (bridas) Com Obstrução,305
C119,"Neoplasia Maligna da Nasofaringe, Não Especificada",305
W699,Afogamento e Submersão em Águas Naturais,303
G419,"Estado de Mal Epiléptico, Não Especificado",303
A310,Infecção Pulmonar Micobacteriana,303
G35,Esclerose Múltipla,301
G009,Meningite Bacteriana Não Especificada,301
C833,"Linfoma Não-Hodgkin Difuso, Grandes Células (difuso)",300
I632,Infarto Cerebral Devido a Oclusão ou Estenose Não Especificadas de Artérias Pré-cerebrais,298
I200,Angina Instável,294
I131,Doença Cardíaca e Renal Hipertensiva Com Insuficiência Renal,294
V134,"Ciclista Traumatizado em Colisão Com um Automóvel, ""pick Up"" ou Caminhonete - Condutor Traumatizado em um Acidente de Trânsito",293
I428,Outras Cardiomiopatias,293
C182,Neoplasia Maligna do Cólon Ascendente,293
A91,Febre Hemorrágica Devida ao Vírus do Dengue,293
Y294,"Contato Com Objeto Contundente, Intenção Não Determinada",292
E126,Diabetes Mellitus Relacionado Com a Desnutrição,292
C211,Neoplasia Maligna do Canal Anal,292
K800,Calculose da Vesícula Biliar Com Colicistite Aguda,291
I679,Doença Cerebrovascular Não Especificada,291
P285,Insuficiência Respiratória do Recém-nascido,289
E41,Marasmo Nutricional,289
P002,Feto e Recém-nascido Afetados Por Doenças Infecciosas e Parasitárias da Mãe,288
Q913,Síndrome de Edwards Não Especificada,287
C549,"Neoplasia Maligna do Corpo do Útero, Não Especificado",287
V486,Ocupante de um Automóvel (carro) Traumatizado em um Acidente de Transporte Sem Colisão,286
C443,Neoplasia Maligna da Pele de Outras Partes e de Partes Não Especificadas da Face,286
N498,Transtornos Inflamatórios de Outros Órgãos Genitais Masculinos Especificados,285
B651,Esquistossomose Devida ao Schistosoma Mansoni (esquistossomose Intestinal),285
V436,"Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Passageiro Traumatizado em um Acidente de Trânsito",284
F019,Demência Vascular Não Especificada,284
