causa_morte,descricao_morte,soma_morte
V093,Pedestre Traumatizado em um Acidente de Trânsito Não Especificado,2103
G311,"Degeneração Cerebral Senil, Não Classificadas em Outra Parte",2085
A46,Erisipela,2043
V499,"Ocupante (qualquer) de um Automóvel (carro), Traumatizado em um Acidente de Trânsito Não Especificado",2015
C109,"Neoplasia Maligna da Orofaringe, Não Especificada",1987
E669,Obesidade Não Especificada,1981
X999,Agressão Por Meio de Objeto Cortante ou Penetrante,1964
I519,Doença Não Especificada do Coração,1959
W698,Afogamento e Submersão em Águas Naturais,1941
C55,"Neoplasia Maligna do Útero, Porção Não Especificada",1929
E141,Diabetes Mellitus Não Especificado,1919
C220,Carcinoma de Células Hepáticas,1917
J158,Outras Pneumonias Bacterianas,1903
C449,"Neoplasia Maligna da Pele, Não Especificada",1875
I501,Insuficiência Ventricular Esquerda,1862
I132,Doença Cardíaca e Renal Hipertensiva Com Insuficiência Cardíaca (congestiva) e Insuficiência Renal,1860
V234,"Motociclista Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Condutor Traumatizado em um Acidente de Trânsito",1825
K729,"Insuficiência Hepática, Sem Outras Especificações",1824
N039,Síndrome Nefrítica Crônica,1803
C760,"Neoplasia Maligna da Cabeça, Face e Pescoço",1790
J984,Outros Transtornos Pulmonares,1768
C250,Neoplasia Maligna da Cabeça do Pâncreas,1759
I350,Estenose (da Valva) Aórtica,1750
P220,Síndrome da Angústia Respiratória do Recém-nascido,1727
Q249,Malformação Não Especificada do Coração,1710
K769,"Doença Hepática, Sem Outra Especificação",1701
E109,Diabetes Mellitus Insulino-dependente,1649
I802,Flebite e Tromboflebite de Outros Vasos Profundos Dos Membros Inferiores,1648
E112,Diabetes Mellitus Não-insulino-dependente,1648
C439,"Melanoma Maligno de Pele, Não Especificado",1613
C541,Neoplasia Maligna do Endométrio,1611
C249,"Neoplasia Maligna da Via Biliar, Não Especificada",1609
F172,Transtornos Mentais e Comportamentais Devidos ao Uso de Fumo,1590
I713,"Aneurisma da Aorta Abdominal, Roto",1576
X990,Agressão Por Meio de Objeto Cortante ou Penetrante,1527
G122,Doença do Neurônio Motor,1502
N12,Nefrite Túbulo-intersticial Não Especificada se Aguda ou Crônica,1487
I638,Outros Infartos Cerebrais,1474
C19,Neoplasia Maligna da Junção Retossigmóide,1445
I517,Cardiomegalia,1441
W849,Riscos Não Especificados à Respiração,1425
E43,Desnutrição Protéico-calórica Grave Não Especificada,1425
E107,Diabetes Mellitus Insulino-dependente,1398
I461,"Morte Súbita (de Origem) Cardíaca, Descrita Desta Forma",1396
J448,Outras Formas Especificadas de Doença Pulmonar Obstrutiva Crônica,1389
R688,Outros Sintomas e Sinais Gerais Especificados,1386
I248,Outras Formas de Doença Isquêmica Aguda do Coração,1385
B24,Doença Pelo Vírus da Imunodeficiência Humana (HIV) Não Especificada,1362
B200,Doença Pelo HIV Resultando em Infecções Micobacterianas,1354
X599,Exposição a Fator Não Especificado Causando Outro Traumatismo e Traumatismo Não Especificado,1348
V899,Pessoa Traumatizada em um Acidente Com um Veículo Não Especificado,1348
G809,Paralisia Cerebral Não Especificada,1347
E86,Depleção de Volume,1334
A418,Outras Septicemias Especificadas,1309
C029,"Neoplasia Maligna da Língua, Não Especificada",1282
R570,Choque Cardiogênico,1271
Y350,Intervenção Legal Envolvendo o Uso de Armas de Fogo,1266
B182,Hepatite Viral Crônica C,1263
I210,Infarto Agudo Transmural da Parede Anterior do Miocárdio,1247
Y299,"Contato Com Objeto Contundente, Intenção Não Determinada",1238
X934,Agressão Por Meio de Disparo de Arma de Fogo de Mão,1238
V031,"Pedestre Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Acidente de Trânsito",1238
J90,Derrame Pleural Não Classificado em Outra Parte,1173
I249,Doença Isquêmica Aguda do Coração Não Especificada,1172
P000,Feto e Recém-nascido Afetados Por Transtornos Maternos Hipertensivos,1166
C23,Neoplasia Maligna da Vesícula Biliar,1165
C910,Leucemia Linfoblástica Aguda,1159
Y249,"Disparo de Outra Arma de Fogo e de Arma de Fogo Não Especificada, Intenção Não Determinada",1150
M623,Síndrome de Imobilidade (paraplégica),1127
C762,Neoplasia Maligna do Abdome,1124
C187,Neoplasia Maligna do Cólon Sigmóide,1106
X709,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",1105
K704,Insuficiência Hepática Alcoólica,1103
C069,"Neoplasia Maligna da Boca, Não Especificada",1098
K709,"Doença Alcoólica do Fígado, Sem Outra Especificação",1058
N40,Hiperplasia da Próstata,1057
B208,Doença Pelo HIV Resultando em Outras Doenças Infecciosas e Parasitárias,1055
I711,"Aneurisma da Aorta Torácica, Roto",1053
K810,Colecistite Aguda,1048
W010,"Queda no Mesmo Nível Por Escorregão, Tropeção ou Passos em Falsos (traspés)",1040
C798,Neoplasia Maligna Secundária de Outra Localização Especificada,1040
C221,Carcinoma de Vias Biliares Intra-hepáticas,1038
I620,Hemorragia Subdural (aguda) (não-traumática),1036
K830,Colangite,1030
G931,"Lesão Encefálica Anóxica, Não Classificada em Outra Parte",1017
W789,Inalação do Conteúdo Gástrico,1009
J188,Outras Pneumonias Devidas a Microorganismos Não Especificados,1004
C959,Leucemia Não Especificada,996
C508,Neoplasia Maligna da Mama Com Lesão Invasiva,991
J181,Pneumonia Lobar Não Especificada,977
B201,Doença Pelo HIV Resultando em Outras Infecções Bacterianas,976
E878,Outros Transtornos do Equilíbrio Hidroeletrolítico Não Classificados em Outra Parte,974
I258,Outras Formas de Doença Isquêmica Crônica do Coração,969
E668,Outra Obesidade,966
V284,Motociclista Traumatizado em um Acidente de Transporte Sem Colisão,962
C729,"Neoplasia Maligna do Sistema Nervoso Central, Não Especificado",956
I340,Insuficiência (da Valva) Mitral,950
C499,"Neoplasia Maligna do Tecido Conjuntivo e Tecidos Moles, Não Especificados",950
W190,Queda Sem Especificação,935
V244,Motociclista Traumatizado em Colisão Com um Veículo de Transporte Pesado ou um Ônibus,934
G301,Doença de Alzheimer de Início Tardio,934
E117,Diabetes Mellitus Não-insulino-dependente,932
I698,Seqüelas de Outras Doenças Cerebrovasculares e Das Não Especificadas,916
I718,"Aneurisma da Aorta de Localização Não Especificada, Roto",908
I714,"Aneurisma da Aorta Abdominal, Sem Menção de Ruptura",906
I38,Endocardite de Valva Não Especificada,903
E118,Diabetes Mellitus Não-insulino-dependente,899
K579,"Doença Diverticular do Intestino, de Localização Não Especificada, Sem Perfuração ou Abscesso",888
D469,"Síndrome Mielodisplásica, Não Especificada",887
W019,"Queda no Mesmo Nível Por Escorregão, Tropeção ou Passos em Falsos (traspés)",881
C780,Neoplasia Maligna Secundária Dos Pulmões,879
M321,Lúpus Eritematoso Disseminado (sistêmico) Com Comprometimento de Outros Órgãos e Sistemas,875
K659,"Peritonite, Sem Outras Especificações",875
C419,"Neoplasia Maligna Dos Ossos e Cartilagens Articulares, Não Especificados",874
C73,Neoplasia Maligna da Glândula Tireóide,869
C482,Neoplasia Maligna do Peritônio,869
I442,Bloqueio Atrioventricular Total,867
E788,Outros Distúrbios do Metabolismo de Lipoproteínas,865
B227,Doença Pelo HIV Resultando em Doenças Múltiplas Classificadas em Outra Parte,864
C240,Neoplasia Maligna Das Vias Biliares Extra-hepáticas,851
Y004,Agressão Por Meio de um Objeto Contundente,819
W749,Afogamento e Submersão Não Especificados,804
K650,Peritonite Aguda,804
I709,Aterosclerose Generalizada e a Não Especificada,792
E115,Diabetes Mellitus Não-insulino-dependente,785
C140,"Neoplasia Maligna da Faringe, Não Especificada",776
V274,Motociclista Traumatizado em Colisão Com um Objeto Fixo ou Parado,758
K819,"Colecistite, Sem Outra Especificação",751
C348,Neoplasia Maligna Dos Brônquios e Dos Pulmões Com Lesão Invasiva,742
P77,Enterocolite Necrotizante do Feto e do Recém-nascido,739
D619,Anemia Aplástica Não Especificada,734
I330,Endocardite Infecciosa Aguda e Subaguda,730
Y009,Agressão Por Meio de um Objeto Contundente,729
C911,Leucemia Linfocítica Crônica,727
C269,Neoplasia Maligna de Localizações Mal Definidas Dentro do Aparelho Digestivo,725
Y340,Fatos ou Eventos Não Especificados e Intenção Não Determinada,722
V99,Acidente de Transporte Não Especificado,722
P011,Feto e Recém-nascido Afetados Por Ruptura Prematura Das Membranas,709
K254,Úlcera Gástrica,709
I260,Embolia Pulmonar Com Menção de Cor Pulmonale Agudo,703
W748,Afogamento e Submersão Não Especificados,686
A150,"Tuberculose Pulmonar, Com Confirmação Por Exame Microscópico da Expectoração, Com ou Sem Cultura",682
Y344,Fatos ou Eventos Não Especificados e Intenção Não Determinada,670
P001,Feto e Recém-nascido Afetados Por Doenças Maternas Renais e Das Vias Urinárias,668
K802,Calculose da Vesícula Biliar Sem Colecistite,659
G919,Hidrocefalia Não Especificada,658
B206,Doença Pelo HIV Resultando em Pneumonia Por Pneumocystis Jirovecii,656
J849,Doença Pulmonar Intersticial Não Especificadas,654
I213,"Infarto Agudo Transmural do Miocárdio, de Localização Não Especificada",653
I719,"Aneurisma Aórtico de Localização Não Especificada, Sem Menção de Ruptura",652
Y200,"Enforcamento, Estrangulamento e Sufocação, Intenção Não Determinada",649
E105,Diabetes Mellitus Insulino-dependente,648
Y099,Agressão Por Meios Não Especificados,647
V021,Pedestre Traumatizado em Colisão Com um Veículo a Motor de Duas ou Três Rodas,646
G319,"Doença Degenerativa do Sistema Nervoso, Não Especificada",640
B573,Doença de Chagas (crônica) Com Comprometimento do Aparelho Digestivo,634
X939,Agressão Por Meio de Disparo de Arma de Fogo de Mão,633
K562,Volvo,633
V445,Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Veículo de Transporte Pesado ou um Ônibus,615
P219,"Asfixia ao Nascer, Não Especificada",615
N180,Doença Renal em Estádio Final,613
E140,Diabetes Mellitus Não Especificado,608
K631,Perfuração do Intestino (não-traumática),607
P072,Imaturidade Extrema,606
C168,Neoplasia Maligna do Estômago Com Lesão Invasiva,606
N10,Nefrite Túbulo-intersticial Aguda,597
C383,"Neoplasia Maligna do Mediastino, Porção Não Especificada",597
X998,Agressão Por Meio de Objeto Cortante ou Penetrante,594
I743,Embolia e Trombose de Artérias Dos Membros Inferiores,594
Y838,"Reação Anormal em Paciente ou Complicação Tardia, Causadas Por Outras Intervenções ou Procedimentos Cirúrgicos, Sem Menção de Acidente Durante a Intervenção",588
Q909,Síndrome de Down Não Especificada,588
C01,Neoplasia Maligna da Base da Língua,588
A049,Infecção Intestinal Bacteriana Não Especificada,575
F209,Esquizofrenia Não Especificada,568
X955,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,567
E108,Diabetes Mellitus Insulino-dependente,565
P027,Feto e Recém-nascido Afetados Por Corioamnionite,563
P070,Recém-nascido Com Peso Muito Baixo,561
V041,Pedestre Traumatizado em Colisão Com um Veículo de Transporte Pesado ou Com um Ônibus,557
K701,Hepatite Alcoólica,557
K578,"Doença Diverticular do Intestino, de Localização Não Especificada, Com Perfuração e Abscesso",557
J22,Infecções Agudas Não Especificada Das Vias Aéreas Inferiores,557
G934,Encefalopatia Não Especificada,554
V435,"Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Condutor (motorista) Traumatizado em um Acidente de Trânsito",553
E102,Diabetes Mellitus Insulino-dependente,548
P021,Feto e Recém-nascido Afetados Por Outras Formas de Descolamento da Placenta e Hemorragia,546
I279,Cardiopatia Pulmonar Não Especificada,542
I749,Embolia e Trombose de Artéria Não Especificada,541
C218,"Neoplasia Maligna do Reto, Ânus e do Canal Anal Com Lesão Invasiva",531
I850,Varizes Esofagianas Sangrantes,527
C170,Neoplasia Maligna do Duodeno,526
Q336,Hipoplasia e Displasia do Pulmão,524
Y348,Fatos ou Eventos Não Especificados e Intenção Não Determinada,517
A90,Dengue (dengue Clássico),513
C921,Leucemia Mielóide Crônica,512
E889,Distúrbio Metabólico Não Especificado,508
X708,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",503
K850,Pancreatite Aguda Idiopática,503
E039,Hipotireoidismo Não Especificado,503
W780,Inalação do Conteúdo Gástrico,502
E872,Acidose,494
I629,Hemorragia Intracraniana (não-traumática) Não Especificada,491
W879,Exposição a Corrente Elétrica Não Especificada,482
K255,Úlcera Gástrica,482
I618,Outras Hemorragias Intracerebrais,482
V485,Ocupante de um Automóvel (carro) Traumatizado em um Acidente de Transporte Sem Colisão,480
C819,"Doença de Hodgkin, Não Especificada",477
C538,Neoplasia Maligna do Colo do Útero Com Lesão Invasiva,477
V224,Motociclista Traumatizado em Colisão Com um Veículo a Motor de Duas ou Três Rodas,476
Y000,Agressão Por Meio de um Objeto Contundente,475
P240,Aspiração Neonatal de Mecônio,473
M869,Osteomielite Não Especificada,471
I270,Hipertensão Pulmonar Primária,469
D689,Defeito de Coagulação Não Especificado,468
M069,Artrite Reumatóide Não Especificada,459
L984,"Úlcera Crônica da Pele, Não Classificada em Outra Parte",458
V294,"Condutor Traumatizado em Colisão Com Outros Veículos e Com Veículos Não Especificados, a Motor, em um Acidente de Trânsito",457
C179,"Neoplasia Maligna do Intestino Delgado, Não Especificado",457
I712,"Aneurisma da Aorta Torácica, Sem Menção de Ruptura",456
Q000,Anencefalia,453
E101,Diabetes Mellitus Insulino-dependente,452
N289,Transtorno Não Especificado do Rim e do Ureter,451
X930,Agressão Por Meio de Disparo de Arma de Fogo de Mão,450
C480,Neoplasia Maligna do Retroperitônio,450
I671,Aneurisma Cerebral Não-roto,447
I059,Doença Não Especificada da Valva Mitral,447
I211,Infarto Agudo Transmural da Parede Inferior do Miocárdio,444
P969,Afecções Originadas no Período Perinatal Não Especificadas,443
V239,"Motociclista Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Motociclista Não Especificado Traumatizado em um Acidente de Trânsito",442
G009,Meningite Bacteriana Não Especificada,440
I428,Outras Cardiomiopatias,438
C763,Neoplasia Maligna da Pelve,432
Q897,"Malformações Congênitas Múltiplas, Não Classificadas em Outra Parte",431
C787,Neoplasia Maligna Secundária do Fígado,430
X590,Exposição a Fator Não Especificado Causando Fratura,427
C629,"Neoplasia Maligna do Testículo, Sem Outras Especificações",427
R100,Abdome Agudo,424
V099,Pedestre Traumatizado em um Acidente de Transporte Não Especificado,423
K460,"Hérnia Abdominal Não Especificada, Com Obstrução, Sem Gangrena",422
K403,"Hérnia Inguinal Unilateral ou Não Especificada, Com Obstrução Sem Gangrena",421
C519,"Neoplasia Maligna da Vulva, Não Especificada",421
C788,Neoplasia Maligna Secundária de Outros Órgãos Digestivos e Não Especificados,420
R961,"Morte Que Ocorre em Menos de 24 Horas Após o Início Dos Sintomas, Que Não Pode Ser Explicada",419
I351,Insuficiência (da Valva) Aórtica,419
K750,Abscesso Hepático,418
J869,Piotórax Sem Fístula,418
I691,Seqüelas de Hemorragia Intracerebral,418
A169,"Tuberculose Respiratória, Não Especificada, Sem Menção de Confirmação Bacteriológica ou Histológica",418
L039,Celulite Não Especificada,416
K350,Apendicite Aguda Com Peritonite Generalizada,410
F329,Episódio Depressivo Não Especificado,408
C609,"Neoplasia Maligna do Pênis, Não Especificado",406
Y244,"Disparo de Outra Arma de Fogo e de Arma de Fogo Não Especificada, Intenção Não Determinada",404
C139,"Neoplasia Maligna da Hipofaringe, Não Especificada",402
C851,"Linfoma de Células B, Não Especificado",399
K767,Síndrome Hepatorrenal,398
C412,Neoplasia Maligna da Coluna Vertebral,398
W179,Outras Quedas de um Nível a Outro,396
K852,Pancreatite Aguda Induzida Por Álcool,394
E440,Desnutrição Protéico-calórica Moderada,392
J09,Influenza (gripe) Devida a Vírus Identificado da Gripe Aviária,391
C180,Neoplasia Maligna do Ceco,390
A91,Febre Hemorrágica Devida ao Vírus do Dengue,389
K529,"Gastroenterite e Colite Não-infecciosas, Não Especificadas",388
K803,Calculose de Via Biliar Com Colangite,387
K251,Úlcera Gástrica,387
C950,Leucemia Aguda de Tipo Celular Não Especificado,387
P229,Desconforto Respiratório Não Especificado do Recém-nascido,382
C786,Neoplasia Maligna Secundária do Retroperitônio e do Peritônio,381
Y094,Agressão Por Meios Não Especificados,380
X740,Lesão Autoprovocada Intencionalmente Por Disparo de Outra Arma de Fogo e de Arma de Fogo Não Especificada,380
C188,Neoplasia Maligna do Cólon Com Lesão Invasiva,380
F019,Demência Vascular Não Especificada,379
P209,Hipóxia Intra-uterina Não Especificada,378
N200,Calculose do Rim,377
K851,Pancreatite Aguda Biliar,377
I490,Flutter e Fibrilação Ventricular,377
W870,Exposição a Corrente Elétrica Não Especificada,374
R571,Choque Hipovolêmico,372
P010,Feto e Recém-nascido Afetados Por Incompetência do Colo Uterino,371
I426,Cardiomiopatia Alcoólica,370
E162,Hipoglicemia Não Especificada,366
I209,"Angina Pectoris, Não Especificada",362
I139,"Doença Cardíaca e Renal Hipertensiva, Não Especificada",362
K760,Degeneração Gordurosa do Fígado Não Classificada em Outra Parte,358
Y049,Agressão Por Meio de Força Corporal,352
X952,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,352
I829,Embolia e Trombose Venosas de Veia Não Especificada,351
D696,Trombocitopenia Não Especificada,351
V436,"Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Passageiro Traumatizado em um Acidente de Trânsito",350
G049,"Encefalite, Mielite e Encefalomielite Não Especificada",350
L031,Celulite de Outras Partes Do(s) Membro(s),349
K565,Aderências Intestinais (bridas) Com Obstrução,348
I212,Infarto Agudo Transmural do Miocárdio de Outras Localizações,348
C833,"Linfoma Não-Hodgkin Difuso, Grandes Células (difuso)",348
V446,Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Veículo de Transporte Pesado ou um Ônibus,347
F109,Transtornos Mentais e Comportamentais Devidos ao Uso de Álcool,347
B909,Seqüelas de Tuberculose Das Vias Respiratórias e de Órgãos Não Especificados,346
K559,"Transtorno Vascular do Intestino, Sem Outra Especificação",345
P269,Hemorragia Pulmonar Não Especificada Originada no Período Perinatal,344
X704,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",343
D571,Anemia Falciforme Sem Crise,343
P285,Insuficiência Respiratória do Recém-nascido,342
K800,Calculose da Vesícula Biliar Com Colicistite Aguda,341
V289,Motociclista Traumatizado em um Acidente de Transporte Sem Colisão,340
K720,Insuficiência Hepática Aguda e Subaguda,337
I679,Doença Cerebrovascular Não Especificada,336
C340,Neoplasia Maligna do Brônquio Principal,334
R64,Caquexia,333
K564,Outras Obstruções do Intestino,333
L97,Úlcera Dos Membros Inferiores Não Classificada em Outra Parte,330
K805,Calculose de Via Biliar Sem Colangite ou Colecistite,330
Y209,"Enforcamento, Estrangulamento e Sufocação, Intenção Não Determinada",328
J80,Síndrome do Desconforto Respiratório do Adulto,327
I131,Doença Cardíaca e Renal Hipertensiva Com Insuficiência Renal,327
J47,Bronquectasia,326
C119,"Neoplasia Maligna da Nasofaringe, Não Especificada",326
I050,Estenose Mitral,325
E41,Marasmo Nutricional,325
G710,Distrofia Muscular,323
K831,Obstrução de Via Biliar,322
C678,Neoplasia Maligna da Bexiga Com Lesão Invasiva,322
N309,"Cistite, Não Especificada",321
V134,"Ciclista Traumatizado em Colisão Com um Automóvel, ""pick Up"" ou Caminhonete - Condutor Traumatizado em um Acidente de Trânsito",320
V475,Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Objeto Fixo ou Parado,319
A483,Síndrome do Choque Tóxico,319
Q913,Síndrome de Edwards Não Especificada,317
J110,"Influenza (gripe) Com Pneumonia, Devida a Vírus Não Identificado",316
P210,Asfixia Grave ao Nascer,315
K359,Apendicite Aguda Sem Outra Especificação,315
K264,Úlcera Duodenal,314
C749,"Neoplasia Maligna da Glândula Supra-renal, Não Especificada",313
C182,Neoplasia Maligna do Cólon Ascendente,313
I359,Transtornos Não Especificados da Valva Aórtica,309
C716,Neoplasia Maligna do Cerebelo,309
W699,Afogamento e Submersão em Águas Naturais,307
I635,Infarto Cerebral Devido a Oclusão ou Estenose Não Especificadas de Artérias Cerebrais,307
J219,Bronquite Aguda Não Especificada,306
I632,Infarto Cerebral Devido a Oclusão ou Estenose Não Especificadas de Artérias Pré-cerebrais,306
E111,Diabetes Mellitus Não-insulino-dependente,306
I771,Estenose de Artéria,304
X099,"Exposição a Tipo Não Especificado de Fumaça, Fogo ou Chamas",303
C158,Neoplasia Maligna do Esôfago Com Lesão Invasiva,303
P280,Atelectasia Primária do Recém-nascido,298
Q899,Malformações Congênitas Não Especificadas,297
K259,Úlcera Gástrica,297
C929,"Leucemia Mielóide, Não Especificada",295
W790,Inalação e Ingestão de Alimentos Causando Obstrução do Trato Respiratório,293
Q248,Outras Malformações Congênitas Especificadas do Coração,291
I872,Insuficiência Venosa (crônica) (periférica),289
F192,Transtornos Mentais e Comportamentais Devidos ao Uso de Múltiplas Drogas e ao Uso de Outras Substâncias Psicoativas,288
C07,Neoplasia Maligna da Glândula Parótida,285
J42,Bronquite Crônica Não Especificada,284
C258,Neoplasia Maligna do Pâncreas Com Lesão Invasiva,284
V249,Motociclista Traumatizado em Colisão Com um Veículo de Transporte Pesado ou um Ônibus,283
P073,Outros Recém-nascidos de Pré-termo,283
B651,Esquistossomose Devida ao Schistosoma Mansoni (esquistossomose Intestinal),282
G35,Esclerose Múltipla,279
E110,Diabetes Mellitus Não-insulino-dependente,277
